"","pathway","N","DE","P.DE","FDR","mean_change_PM_vs_BM","dir","subset"
"209","GO:0006302 double-strand break repair",114,82,0.000451112266132248,0.0370861768262406,-0.000100800185395827,"hypo","Biological processes"
"210","GO:0051252 regulation of RNA metabolic process",2925,1725,0.000458893176627636,0.0375462026705526,-0.00244869157498398,"hypo","Biological processes"
"211","GO:0006325 chromatin organization",526,334,0.000463125858504359,0.0376690715202189,-0.00257352603562203,"hypo","Biological processes"
"212","GO:0018130 heterocycle biosynthetic process",3594,2095,0.000464779604370062,0.0376690715202189,-0.00247949049972102,"hypo","Biological processes"
"213","GO:1901362 organic cyclic compound biosynthetic process",3695,2150,0.00046997538568914,0.037911347778924,-0.00264302159811727,"hypo","Biological processes"
"214","GO:0034654 nucleobase-containing compound biosynthetic process",3528,2058,0.000479458800552461,0.038495612668656,-0.00241420548733949,"hypo","Biological processes"
"215","GO:0033554 cellular response to stress",1215,747,0.000505878527940822,0.0403782600891892,-0.00183214221176849,"hypo","Biological processes"
"216","GO:0042221 response to chemical stimulus",2761,1627,0.000507607041046728,0.0403782600891892,-0.00605249262894479,"hypo","Biological processes"
"217","GO:0017016 Ras GTPase binding",121,93,0.000517975833778931,0.0410131832994912,-0.00641972056047051,"hypo","Molecular function"
"218","GO:0031981 nuclear lumen",2098,1257,0.00052659372446545,0.0415042815310338,-0.00226191718668365,"hypo","Cellular components"
"219","GO:0048489 synaptic vesicle transport",67,54,0.000549203994381832,0.0430886896414093,-0.00824015498861207,"hypo","Biological processes"
"220","GO:0044297 cell body",287,197,0.000553031606272591,0.0431917684498894,-0.00646169490674304,"hypo","Cellular components"
"221","GO:0008013 beta-catenin binding",61,51,0.000574814094187662,0.0446898450965267,-0.00890991290902634,"hypo","Molecular function"
"222","GO:0016569 covalent chromatin modification",276,189,0.000579339009077424,0.0448387515944518,-0.00250951751879448,"hypo","Biological processes"
"223","GO:0010557 positive regulation of macromolecule biosynthetic process",1200,747,0.000584135158959374,0.0450072210817936,-0.00163588564804992,"hypo","Biological processes"
"224","GO:0051641 cellular localization",2056,1237,0.00060707251771798,0.0465657142831711,-0.00412131157822576,"hypo","Biological processes"
"225","GO:0019438 aromatic compound biosynthetic process",3582,2086,0.000651635803198508,0.0497618060913634,-0.00247887794218019,"hypo","Biological processes"
"226","GO:0006351 transcription, DNA-dependent",3149,1846,0.00065845828933448,0.0500603111829427,-0.00222261316840882,"hypo","Biological processes"
"227","GO:0006810 transport",3357,1990,0.000687599842439109,0.0520455528316686,-0.00594271020674085,"hypo","Biological processes"
"228","GO:0044451 nucleoplasm part",823,516,0.000722427823756891,0.0544419073148723,0.000207365424938752,"hyper","Cellular components"
"229","GO:0009889 regulation of biosynthetic process",3333,1950,0.00073295185305846,0.0549937936211811,-0.00245056483159102,"hypo","Biological processes"
"230","GO:0046578 regulation of Ras protein signal transduction",272,192,0.000743639133983892,0.0555530765222228,-0.00886274679186844,"hypo","Biological processes"
"231","GO:0000287 magnesium ion binding",182,127,0.000760191555597514,0.0564614664277769,-0.00401935474616642,"hypo","Molecular function"
"232","GO:0009968 negative regulation of signal transduction",631,412,0.000762371098314762,0.0564614664277769,-0.00349716579518289,"hypo","Biological processes"
"233","GO:0042391 regulation of membrane potential",274,190,0.000813537737955231,0.059992297912218,-0.00830726331398428,"hypo","Biological processes"
"234","GO:0007267 cell-cell signaling",1092,683,0.000851444973171549,0.0625193484146733,-0.00737432546666379,"hypo","Biological processes"
"235","GO:2000112 regulation of cellular macromolecule biosynthetic process",3094,1817,0.000857592893053998,0.0627028131423566,-0.0021964644855721,"hypo","Biological processes"
"236","GO:0000975 regulatory region DNA binding",343,232,0.00090391072599261,0.0655316206498102,0.000190795410083221,"hyper","Molecular function"
"237","GO:0001067 regulatory region nucleic acid binding",343,232,0.00090391072599261,0.0655316206498102,0.000190795410083221,"hyper","Molecular function"
"238","GO:0050877 neurological system process",1244,764,0.000922109713926851,0.0665701222886183,-0.00842991738413535,"hypo","Biological processes"
"239","GO:0006355 regulation of transcription, DNA-dependent",2843,1672,0.000940644084878348,0.067624044629204,-0.00238842612903251,"hypo","Biological processes"
"240","GO:0051338 regulation of transferase activity",660,423,0.000986765822977673,0.0702329344741861,-0.00354093261457479,"hypo","Biological processes"
"241","GO:0071363 cellular response to growth factor stimulus",433,289,0.000988028202269306,0.0702329344741861,-0.00256114338901857,"hypo","Biological processes"
"242","GO:0009719 response to endogenous stimulus",1068,664,0.000989196260199804,0.0702329344741861,-0.00418068637630566,"hypo","Biological processes"
"243","GO:0003682 chromatin binding",330,222,0.00100313230126126,0.0709292971204568,-0.00401824660185482,"hypo","Molecular function"
"244","GO:0040007 growth",768,486,0.00102163883374129,0.0719417968907496,-0.00462244446089629,"hypo","Biological processes"
"245","GO:0005667 transcription factor complex",291,194,0.00102841960999778,0.0721236968938032,-0.00051316903937612,"hypo","Cellular components"
"246","GO:0017015 regulation of transforming growth factor beta receptor signaling pathway",92,69,0.00107080819816514,0.0747911644750952,0.00239491894766069,"hyper","Biological processes"
"247","GO:0005938 cell cortex",189,135,0.00114078148413454,0.0793559006493913,-0.00581852266317439,"hypo","Cellular components"
"248","GO:0030029 actin filament-based process",467,313,0.00114883724418513,0.0795940384257619,-0.00674875170141202,"hypo","Biological processes"
"249","GO:0032774 RNA biosynthetic process",3234,1882,0.00118384568401676,0.0813772151017068,-0.00202828687056635,"hypo","Biological processes"
"250","GO:0065008 regulation of biological quality",2548,1527,0.00118404747849067,0.0813772151017068,-0.00589057245911258,"hypo","Biological processes"
"251","GO:0010605 negative regulation of macromolecule metabolic process",1353,835,0.00119093737758225,0.081524645504455,-0.00128316905544975,"hypo","Biological processes"
"252","GO:0033993 response to lipid",538,336,0.00122239209074602,0.0833457972349134,-0.00558401150529467,"hypo","Biological processes"
"253","GO:0045944 positive regulation of transcription from RNA polymerase II promoter",707,452,0.00123202588492276,0.0833472179022056,-0.00256310739035913,"hypo","Biological processes"
"254","GO:0007264 small GTPase mediated signal transduction",515,340,0.00123474009817904,0.0833472179022056,-0.00565074328289586,"hypo","Biological processes"
"255","GO:0044212 transcription regulatory region DNA binding",335,226,0.00123696546182414,0.0833472179022056,0.000358117797082149,"hyper","Molecular function"
"256","GO:0036293 response to decreased oxygen levels",227,155,0.00124313920621146,0.0834360071918956,-0.00274762790803552,"hypo","Biological processes"
"257","GO:0022402 cell cycle process",1066,657,0.00125638413505123,0.0839968568422188,-0.00296476050718484,"hypo","Biological processes"
"258","GO:0044304 main axon",46,39,0.00127001373617299,0.0845278681647066,-0.00997506101630449,"hypo","Cellular components"
"259","GO:0070482 response to oxygen levels",240,163,0.00127617131983012,0.0845278681647066,-0.00255613429761725,"hypo","Biological processes"
"260","GO:0051403 stress-activated MAPK cascade",212,148,0.00127908542211755,0.0845278681647066,-0.00292220922499178,"hypo","Biological processes"
"261","GO:0030036 actin cytoskeleton organization",419,284,0.00128765848858616,0.0847683837198751,-0.00564102738776587,"hypo","Biological processes"
"262","GO:0070888 E-box binding",27,24,0.00130106738520816,0.0853241977581933,-0.00464873171918023,"hypo","Molecular function"
"263","GO:0031400 negative regulation of protein modification process",318,211,0.00131325926263377,0.085796276237922,-0.000745506534501449,"hypo","Biological processes"
"264","GO:0007155 cell adhesion",959,601,0.00133036204365651,0.0865843963413114,-0.00676915067782915,"hypo","Biological processes"
"265","GO:0051174 regulation of phosphorus metabolic process",1243,774,0.00133954790296354,0.0868532530895075,-0.00555755467159808,"hypo","Biological processes"
"266","GO:0016337 cell-cell adhesion",408,262,0.00139239134214341,0.0897978788334227,-0.00672328983103897,"hypo","Biological processes"
"267","GO:0030425 dendrite",328,229,0.00139674261325688,0.0897978788334227,-0.00858729097677827,"hypo","Cellular components"
"268","GO:0022610 biological adhesion",961,602,0.0014006420397717,0.0897978788334227,-0.00674251861600471,"hypo","Biological processes"
"269","GO:0042641 actomyosin",51,42,0.00142552849256112,0.0910536452014317,-0.00681822995453614,"hypo","Cellular components"
"270","GO:0012505 endomembrane system",1783,1078,0.00145900232057769,0.0928465847117255,-0.00560150054302262,"hypo","Cellular components"
"271","GO:0051325 interphase",403,263,0.00150361635485003,0.095332605937392,-0.00172199609923531,"hypo","Biological processes"
"272","GO:0019538 protein metabolic process",3859,2254,0.0015573931009495,0.0981310058742236,-0.00411963084172679,"hypo","Biological processes"
"273","GO:0043549 regulation of kinase activity",639,409,0.00155917614967193,0.0981310058742236,-0.00330690186648605,"hypo","Biological processes"
"274","GO:0030659 cytoplasmic vesicle membrane",357,237,0.00158164512099425,0.0990373507575223,-0.00497235689703247,"hypo","Cellular components"
"275","GO:0034762 regulation of transmembrane transport",121,88,0.00158510484567097,0.0990373507575223,-0.00823758430482189,"hypo","Biological processes"
"276","GO:0030027 lamellipodium",122,92,0.00169848139930229,0.105736621024681,-0.00360938286352973,"hypo","Cellular components"
"277","GO:0065009 regulation of molecular function",1810,1100,0.00173016519328406,0.10702246956385,-0.00337989852207121,"hypo","Biological processes"
"278","GO:0007215 glutamate receptor signaling pathway",49,41,0.00173626383366535,0.10702246956385,-0.0178499800221117,"hypo","Biological processes"
"279","GO:2001141 regulation of RNA biosynthetic process",2862,1677,0.00173782266373613,0.10702246956385,-0.00243475970193599,"hypo","Biological processes"
"280","GO:0019220 regulation of phosphate metabolic process",1230,765,0.00174486581269475,0.10707244426329,-0.00564367999544287,"hypo","Biological processes"
"281","GO:0010033 response to organic substance",1869,1114,0.00177183262300899,0.108138069962834,-0.00495260004251972,"hypo","Biological processes"
"282","GO:0051329 interphase of mitotic cell cycle",397,259,0.00177854541962507,0.108138069962834,-0.00165585042935994,"hypo","Biological processes"
"283","GO:0007423 sensory organ development",442,291,0.00178111243158434,0.108138069962834,-0.00370309817848558,"hypo","Biological processes"
"284","GO:0018105 peptidyl-serine phosphorylation",127,92,0.00180627374750861,0.109279561724271,-0.00436851942841457,"hypo","Biological processes"
"285","GO:0032879 regulation of localization",1371,845,0.0018180814445193,0.109607983788528,-0.0062335082095361,"hypo","Biological processes"
"286","GO:0001666 response to hypoxia",225,153,0.00182810769005166,0.109827085071565,-0.00264586562987302,"hypo","Biological processes"
"287","GO:0031098 stress-activated protein kinase signaling cascade",215,149,0.00190092424357274,0.1138037642964,-0.00311192305759051,"hypo","Biological processes"
"288","GO:0014047 glutamate secretion",30,26,0.00193065026591531,0.114961564897649,-0.00362445220956593,"hypo","Biological processes"
"289","GO:0034765 regulation of ion transmembrane transport",113,83,0.00193364522496919,0.114961564897649,-0.00715558254171815,"hypo","Biological processes"
"290","GO:0005623 cell",14291,7998,0.00194445549948227,0.115205635834843,-0.00556075333738582,"hypo","Cellular components"
"291","GO:0030424 axon",256,180,0.00197276620218176,0.116481336377619,-0.0090688959855999,"hypo","Cellular components"
"292","GO:0050853 B cell receptor signaling pathway",30,26,0.0020029164827164,0.11785654454121,-0.00429784080346743,"hypo","Biological processes"
"293","GO:0044464 cell part",14290,7997,0.00201808586985569,0.118343861487578,-0.00556264363486934,"hypo","Cellular components"
"294","GO:0046982 protein heterodimerization activity",352,224,0.00211163111218318,0.123408318943984,-0.00538641528121446,"hypo","Molecular function"
"295","GO:0043025 neuronal cell body",260,177,0.00215763812230392,0.12566962107602,-0.00625022184593993,"hypo","Cellular components"
"296","GO:0048011 nerve growth factor receptor signaling pathway",223,158,0.0021709875708524,0.126019960954006,-0.00373339342693426,"hypo","Biological processes"
"297","GO:0043161 proteasomal ubiquitin-dependent protein catabolic process",226,149,0.00219518506796959,0.126995521339574,0.00306449598119057,"hyper","Biological processes"
"298","GO:0010556 regulation of macromolecule biosynthetic process",3174,1851,0.0022045804744644,0.1271110795713,-0.00227370853351927,"hypo","Biological processes"
"299","GO:0006811 ion transport",999,617,0.00222429598094259,0.127818908175771,-0.00885871848153127,"hypo","Biological processes"
"300","GO:0008134 transcription factor binding",427,279,0.00224837090562891,0.128771696335053,0.000234143925821795,"hyper","Molecular function"
"301","GO:0060070 canonical Wnt receptor signaling pathway",185,131,0.00233202637696516,0.133119193385433,-0.0027387018904136,"hypo","Biological processes"
"302","GO:0006974 response to DNA damage stimulus",615,379,0.0024080826662413,0.137005550898537,-0.000254076770198339,"hypo","Biological processes"
"303","GO:0005794 Golgi apparatus",1148,709,0.00244088011951022,0.138413208625163,-0.00532115309873829,"hypo","Cellular components"
"304","GO:0009798 axis specification",89,67,0.00249016817395057,0.140743649884272,3.47371173919304e-05,"hyper","Biological processes"
"305","GO:0090287 regulation of cellular response to growth factor stimulus",146,104,0.00250929721718519,0.141359818969429,0.000772721646578494,"hyper","Biological processes"
"306","GO:0070848 response to growth factor stimulus",446,293,0.00255854887004049,0.14342608444613,-0.00303003637856416,"hypo","Biological processes"
"307","GO:0006935 chemotaxis",594,382,0.00257252543882021,0.14342608444613,-0.00663077045463777,"hypo","Biological processes"
"308","GO:0042330 taxis",594,382,0.00257252543882021,0.14342608444613,-0.00663077045463777,"hypo","Biological processes"
"309","GO:0031965 nuclear membrane",196,135,0.0025825891814835,0.14342608444613,-0.00423851934917725,"hypo","Cellular components"
"310","GO:0018205 peptidyl-lysine modification",150,104,0.0025877130821965,0.14342608444613,-0.00242747308956074,"hypo","Biological processes"
"311","GO:0043543 protein acylation",151,104,0.00260965945006694,0.144177391225242,-0.00322246473903812,"hypo","Biological processes"
"312","GO:0009892 negative regulation of metabolic process",1450,886,0.0026447302256414,0.145646649797983,-0.0016541091999659,"hypo","Biological processes"
"313","GO:0006928 cellular component movement",1199,743,0.0026884606095894,0.147581885603722,-0.00640526910945535,"hypo","Biological processes"
"314","GO:0045934 negative regulation of nucleobase-containing compound metabolic process",920,575,0.00275418885814632,0.150708512613599,-0.00154632514510765,"hypo","Biological processes"
"315","GO:0044430 cytoskeletal part",1274,766,0.00278658861498149,0.151997351055911,-0.00819530486900289,"hypo","Cellular components"
"316","GO:0018209 peptidyl-serine modification",139,99,0.00284112365409629,0.154087088174537,-0.00332698887572718,"hypo","Biological processes"
"317","GO:0001933 negative regulation of protein phosphorylation",198,136,0.00284799569895973,0.154087088174537,-0.00156015818057965,"hypo","Biological processes"
"318","GO:0034220 ion transmembrane transport",295,196,0.00285180386680845,0.154087088174537,-0.0081956785644226,"hypo","Biological processes"
"319","GO:0005913 cell-cell adherens junction",43,36,0.00287671458976605,0.154945799628089,-0.00873590711450112,"hypo","Cellular components"
"320","GO:0001725 stress fiber",41,34,0.00305635612251058,0.163603836613903,-0.00889569413402494,"hypo","Cellular components"
"321","GO:0015296 anion:cation symporter activity",32,27,0.00305650282580974,0.163603836613903,-0.0203947346579137,"hypo","Molecular function"
"322","GO:0045859 regulation of protein kinase activity",608,387,0.00307364212633806,0.163960028630615,-0.00287175462754137,"hypo","Biological processes"
"323","GO:0051172 negative regulation of nitrogen compound metabolic process",933,582,0.00308224241925787,0.163960028630615,-0.00147588475278382,"hypo","Biological processes"
"324","GO:0032432 actin filament bundle",44,36,0.00312313517720965,0.165622557453136,-0.00908457518589248,"hypo","Cellular components"
"325","GO:0033044 regulation of chromosome organization",107,76,0.00314401442576341,0.166216787272206,-0.0102590144142953,"hypo","Biological processes"
"326","GO:0012506 vesicle membrane",368,242,0.00317931126815761,0.167567258311301,-0.00462208305466446,"hypo","Cellular components"
"327","GO:0007049 cell cycle",1398,849,0.00319437281673008,0.167846219379377,-0.00299894522441179,"hypo","Biological processes"
"328","GO:0051983 regulation of chromosome segregation",25,21,0.00330045663173436,0.172891603190426,0.00619595257836479,"hyper","Biological processes"
"329","GO:0016049 cell growth",360,235,0.0033162846206174,0.173192712314432,-0.00316689456914967,"hypo","Biological processes"
"330","GO:0019904 protein domain specific binding",534,351,0.0033684409920328,0.175383494318508,-0.00430273398271851,"hypo","Molecular function"
"331","GO:0044448 cell cortex part",92,68,0.00339315069482434,0.175663470803123,-0.00626575535403756,"hypo","Cellular components"
"332","GO:0034645 cellular macromolecule biosynthetic process",4106,2366,0.00339426564466516,0.175663470803123,-0.00199174082406197,"hypo","Biological processes"
"333","GO:0019693 ribose phosphate metabolic process",658,413,0.00341623603615933,0.176269572292161,-0.00607820629479815,"hypo","Biological processes"
"334","GO:0021537 telencephalon development",158,113,0.00348266773180271,0.178130214499366,-0.000588441384927402,"hypo","Biological processes"
"335","GO:0010563 negative regulation of phosphorus metabolic process",255,171,0.00348339844440617,0.178130214499366,-0.00149189829423526,"hypo","Biological processes"
"336","GO:0045936 negative regulation of phosphate metabolic process",255,171,0.00348339844440617,0.178130214499366,-0.00149189829423526,"hypo","Biological processes"
"337","GO:0016079 synaptic vesicle exocytosis",34,29,0.00353846673296745,0.179990194054332,-0.0146803031142061,"hypo","Biological processes"
"338","GO:0016055 Wnt receptor signaling pathway",306,208,0.00354072201084648,0.179990194054332,-0.00249754571736467,"hypo","Biological processes"
"339","GO:0007179 transforming growth factor beta receptor signaling pathway",171,118,0.0035684437340634,0.180864307488724,-0.000819452701026328,"hypo","Biological processes"
"340","GO:0009259 ribonucleotide metabolic process",653,410,0.00361289237392771,0.182578578731841,-0.00616118512715702,"hypo","Biological processes"
"341","GO:0030001 metal ion transport",513,327,0.00369962361259854,0.186413292996094,-0.00890813695593122,"hypo","Biological processes"
"342","GO:0019901 protein kinase binding",358,238,0.00371952372189794,0.186868001724124,-0.00273013168702837,"hypo","Molecular function"
"343","GO:0006873 cellular ion homeostasis",608,380,0.00374270170278917,0.187484258476162,-0.00789774049278475,"hypo","Biological processes"
"344","GO:0030511 positive regulation of transforming growth factor beta receptor signaling pathway",21,19,0.00377835564371541,0.188720077529995,-0.00371387775173388,"hypo","Biological processes"
"345","GO:0042116 macrophage activation",40,30,0.00382469757976386,0.190481025552181,-0.00635115600809698,"hypo","Biological processes"
"346","GO:0097060 synaptic membrane",217,151,0.00399887680679312,0.198580061544276,-0.0105140568818486,"hypo","Cellular components"
"347","GO:0009628 response to abiotic stimulus",763,471,0.00403341833688933,0.199718137937845,-0.00463251888227455,"hypo","Biological processes"
"348","GO:0072521 purine-containing compound metabolic process",718,447,0.00411457547410063,0.203151252287348,-0.00621961480531396,"hypo","Biological processes"
"349","GO:0045296 cadherin binding",23,21,0.00419292873775065,0.205960177461707,-0.00169605305585969,"hypo","Molecular function"
"350","GO:0019900 kinase binding",399,263,0.00419544070024429,0.205960177461707,-0.00301361005009603,"hypo","Molecular function"
"351","GO:0071559 response to transforming growth factor beta stimulus",199,136,0.00421813835957565,0.20648448231974,-0.00149808656802917,"hypo","Biological processes"
"352","GO:0005635 nuclear envelope",314,207,0.00440130392551675,0.213675941810711,-0.0054242790084485,"hypo","Cellular components"
"353","GO:0006865 amino acid transport",124,88,0.00440413385034151,0.213675941810711,-0.00811703802527157,"hypo","Biological processes"
"354","GO:0042325 regulation of phosphorylation",871,543,0.00440494236251646,0.213675941810711,-0.00500348819227077,"hypo","Biological processes"
"355","GO:0001823 mesonephros development",21,19,0.00441479218617172,0.213675941810711,-0.00537103198407757,"hypo","Biological processes"
"356","GO:0000080 G1 phase of mitotic cell cycle",46,35,0.00445933783991835,0.214407449273085,0.00348820247788645,"hyper","Biological processes"
"357","GO:0003001 generation of a signal involved in cell-cell signaling",342,224,0.00446734180187199,0.214407449273085,-0.00838564553122362,"hypo","Biological processes"
"358","GO:0023061 signal release",342,224,0.00446734180187199,0.214407449273085,-0.00838564553122362,"hypo","Biological processes"
"359","GO:0044459 plasma membrane part",1881,1118,0.00459573969967938,0.2196949526967,-0.00851119768327097,"hypo","Cellular components"
"360","GO:0050801 ion homeostasis",683,422,0.00460308363233687,0.2196949526967,-0.00716037781810685,"hypo","Biological processes"
"361","GO:0001932 regulation of protein phosphorylation",814,508,0.00467349591736267,0.222437692111151,-0.00500423483852538,"hypo","Biological processes"
"362","GO:0051253 negative regulation of RNA metabolic process",840,525,0.00474143141484835,0.224570841025493,-0.00119516381043071,"hypo","Biological processes"
"363","GO:0042326 negative regulation of phosphorylation",213,144,0.00474445438786252,0.224570841025493,-0.00116172612619054,"hypo","Biological processes"
"364","GO:0010498 proteasomal protein catabolic process",236,153,0.00479353177624834,0.226270502690931,0.00346530382454658,"hyper","Biological processes"
"365","GO:0071560 cellular response to transforming growth factor beta stimulus",198,135,0.00486846184127833,0.22917783933382,-0.00151863053726358,"hypo","Biological processes"
"366","GO:0030031 cell projection assembly",214,146,0.00488561597052479,0.229356977064363,-0.00297319376399042,"hypo","Biological processes"
"367","GO:0009605 response to external stimulus",1237,750,0.00503423883958889,0.235690168233832,-0.00672161114563171,"hypo","Biological processes"
"368","GO:0018394 peptidyl-lysine acetylation",117,82,0.00504989978910546,0.235780918957636,-0.00296897086359216,"hypo","Biological processes"
"369","GO:0001508 regulation of action potential",152,107,0.00512559022991268,0.238666372168997,-0.00746739128366628,"hypo","Biological processes"
"370","GO:0071310 cellular response to organic substance",1335,807,0.00515876358897823,0.239561826988713,-0.00425848853513907,"hypo","Biological processes"
"371","GO:0071822 protein complex subunit organization",1027,621,0.00528841527032098,0.244920623112278,-0.00252248374431211,"hypo","Biological processes"
"372","GO:0022403 cell cycle phase",849,520,0.00537556759983272,0.248198888703608,-0.00306996837421366,"hypo","Biological processes"
"373","GO:0045121 membrane raft",180,125,0.00539994914265781,0.248198888703608,-0.00441754225448642,"hypo","Cellular components"
"374","GO:0046847 filopodium assembly",53,42,0.00540253662991209,0.248198888703608,-0.0065704967380404,"hypo","Biological processes"
"375","GO:0022604 regulation of cell morphogenesis",302,208,0.00546927558630247,0.250023034302014,-0.00539982826223068,"hypo","Biological processes"
"376","GO:0055085 transmembrane transport",689,431,0.00547134564646473,0.250023034302014,-0.00839236842251,"hypo","Biological processes"
"377","GO:0022603 regulation of anatomical structure morphogenesis",603,393,0.00549532085828113,0.25045252781694,-0.00521280263817175,"hypo","Biological processes"
"378","GO:0031327 negative regulation of cellular biosynthetic process",993,614,0.00555875334107537,0.252673280175548,-0.00142913121317372,"hypo","Biological processes"
"379","GO:0033043 regulation of organelle organization",505,321,0.00557677837247128,0.252823762521904,-0.00438169424890506,"hypo","Biological processes"
"380","GO:0044433 cytoplasmic vesicle part",415,266,0.0055916021531036,0.252828705775332,-0.00427009347539322,"hypo","Cellular components"
"381","GO:0018393 internal peptidyl-lysine acetylation",114,80,0.00574406162669082,0.259040595458797,-0.0032272090276945,"hypo","Biological processes"
"382","GO:0009150 purine ribonucleotide metabolic process",638,399,0.00579222009860396,0.260528601398464,-0.0060836451672463,"hypo","Biological processes"
"383","GO:0045739 positive regulation of DNA repair",27,22,0.00586437193085288,0.263085218057217,0.00203865045492854,"hyper","Biological processes"
"384","GO:0006281 DNA repair",394,243,0.00590976179916273,0.264431060503162,-0.000329768464473368,"hypo","Biological processes"
"385","GO:0004683 calmodulin-dependent protein kinase activity",20,18,0.00595514524527368,0.265557319841433,-0.0107242626507503,"hypo","Molecular function"
"386","GO:0045892 negative regulation of transcription, DNA-dependent",809,507,0.00596920693652648,0.265557319841433,-0.000999528864666193,"hypo","Biological processes"
"387","GO:0000278 mitotic cell cycle",772,478,0.00599601391593068,0.265557319841433,-0.00217151996400786,"hypo","Biological processes"
"388","GO:0030544 Hsp70 protein binding",14,13,0.0059967547490674,0.265557319841433,-0.0149637962131039,"hypo","Molecular function"
"389","GO:0000988 protein binding transcription factor activity",515,328,0.00614622145247105,0.271240997995496,-0.000206123098771318,"hypo","Molecular function"
"390","GO:0060391 positive regulation of SMAD protein import into nucleus",10,10,0.00615667496323148,0.271240997995496,-0.00436859231456213,"hypo","Biological processes"
"391","GO:0051248 negative regulation of protein metabolic process",479,303,0.00627672902384872,0.275822910710406,8.07304327927127e-05,"hyper","Biological processes"
"392","GO:0070887 cellular response to chemical stimulus",1710,1008,0.00642085930538991,0.28143674639084,-0.00490780988286065,"hypo","Biological processes"
"393","GO:0019637 organophosphate metabolic process",1199,727,0.00650543783916644,0.282503125282691,-0.00581485321867728,"hypo","Biological processes"
"394","GO:0006812 cation transport",643,401,0.00650826456175528,0.282503125282691,-0.0094012686721767,"hypo","Biological processes"
"395","GO:0051726 regulation of cell cycle",741,457,0.00650913526228066,0.282503125282691,-0.00164085023623792,"hypo","Biological processes"
"396","GO:0001654 eye development",278,184,0.00651095551227713,0.282503125282691,-0.00244639346091683,"hypo","Biological processes"
"397","GO:0007163 establishment or maintenance of cell polarity",115,85,0.00655358542149085,0.283636535798629,-0.00567139316834889,"hypo","Biological processes"
"398","GO:0043933 macromolecular complex subunit organization",1280,755,0.00663422588531475,0.286405198898186,-0.00216410582297924,"hypo","Biological processes"
"399","GO:0008270 zinc ion binding",1936,1121,0.00667112136230604,0.287276208639455,-0.00441141738581757,"hypo","Molecular function"
"400","GO:0007017 microtubule-based process",431,276,0.00674550212569219,0.289753043809108,-0.00510796536495287,"hypo","Biological processes"
"401","GO:0019941 modification-dependent protein catabolic process",390,249,0.00680882722150562,0.291743813765361,0.00083825429748886,"hyper","Biological processes"
"402","GO:0030826 regulation of cGMP biosynthetic process",13,12,0.00683058350443682,0.291947974560282,-0.0119779732317221,"hypo","Biological processes"
"403","GO:0051318 G1 phase",48,36,0.00692898886412125,0.295419073606281,0.00348254344539734,"hyper","Biological processes"
"404","GO:0006950 response to stress",2887,1661,0.00700599202957048,0.297711461498416,-0.00513878236862582,"hypo","Biological processes"
"405","GO:0050919 negative chemotaxis",12,12,0.00701741019129661,0.297711461498416,-0.00232240308345413,"hypo","Biological processes"
"406","GO:0009890 negative regulation of biosynthetic process",1007,621,0.00707748934162766,0.299520743516863,-0.00144086768424554,"hypo","Biological processes"
"407","GO:0007009 plasma membrane organization",103,75,0.00713741978355042,0.300408465717871,-0.00682638479413958,"hypo","Biological processes"
"408","GO:0000165 MAPK cascade",529,338,0.00714709845582434,0.300408465717871,-0.00476934460926124,"hypo","Biological processes"
"409","GO:0003674 molecular_function",14885,8280,0.007153633772805,0.300408465717871,-0.00583200102024518,"hypo","Molecular function"
"410","GO:0007507 heart development",386,255,0.00716840128880964,0.300408465717871,-0.00611800010908661,"hypo","Biological processes"
"411","GO:2001251 negative regulation of chromosome organization",38,30,0.00722090783394937,0.301872599520482,-0.00594935194148913,"hypo","Biological processes"
"412","GO:0005881 cytoplasmic microtubule",30,25,0.00733503958230058,0.305899636172545,-0.00994495421160646,"hypo","Cellular components"
"413","GO:0031399 regulation of protein modification process",1028,631,0.00743480127915575,0.309309335541051,-0.00447361062312375,"hypo","Biological processes"
"414","GO:0010558 negative regulation of macromolecule biosynthetic process",954,590,0.00746022219515361,0.30961724095925,-0.00126374735737352,"hypo","Biological processes"
"415","GO:0018193 peptidyl-amino acid modification",653,410,0.00751628370784305,0.310872115789026,-0.00474085071158841,"hypo","Biological processes"
"416","GO:0009059 macromolecule biosynthetic process",4231,2426,0.00753493105574614,0.310872115789026,-0.00208652828431346,"hypo","Biological processes"
"417","GO:0032269 negative regulation of cellular protein metabolic process",417,265,0.00754473706693189,0.310872115789026,0.000392221903877034,"hyper","Biological processes"
"418","GO:0016573 histone acetylation",112,78,0.00756446265977565,0.310939228278146,-0.00262989006716449,"hypo","Biological processes"
"419","GO:2001252 positive regulation of chromosome organization",44,34,0.00761481658138098,0.312199905092346,-0.0126401439580051,"hypo","Biological processes"
"420","GO:0031503 protein complex localization",14,13,0.00763147247926816,0.312199905092346,-0.00053858235530883,"hypo","Biological processes"
"421","GO:0005509 calcium ion binding",657,402,0.00765106393732336,0.312257911095226,-0.00827997174159201,"hypo","Molecular function"
"422","GO:0030111 regulation of Wnt receptor signaling pathway",185,129,0.00773677878181256,0.314123154523491,-0.00149918837083624,"hypo","Biological processes"
"423","GO:0035023 regulation of Rho protein signal transduction",168,118,0.00775529499544029,0.314123154523491,-0.00914204094160408,"hypo","Biological processes"
"424","GO:0046914 transition metal ion binding",2173,1246,0.00776670747323657,0.314123154523491,-0.00476184126393843,"hypo","Molecular function"
