"","pathway","N","DE","P.DE","FDR","mean_change_PH_vs_BH","dir","subset"
"214","GO:0061061 muscle structure development",464,269,0.00772215471595492,0.620009637053914,-0.00784402041256316,"hypo","Biological processes"
"215","GO:0000278 mitotic cell cycle",772,417,0.00782162432054926,0.623713654977003,-0.000785372395890217,"hypo","Biological processes"
"216","GO:0044260 cellular macromolecule metabolic process",6544,3219,0.00787180469556317,0.623713654977003,-0.0015924181052146,"hypo","Biological processes"
"217","GO:0034968 histone lysine methylation",46,33,0.00789122955417031,0.623713654977003,0.000243886043892453,"hyper","Biological processes"
"218","GO:0010557 positive regulation of macromolecule biosynthetic process",1200,642,0.00793985371933979,0.623713654977003,-0.00308437690408647,"hypo","Biological processes"
"219","GO:0055002 striated muscle cell development",134,86,0.00807998895097982,0.623713654977003,-0.0092099400451881,"hypo","Biological processes"
"220","GO:0051488 activation of anaphase-promoting complex activity",7,7,0.00808715491317514,0.623713654977003,0.0104857976304614,"hyper","Biological processes"
"221","GO:0009890 negative regulation of biosynthetic process",1007,544,0.00810189184780623,0.623713654977003,-0.00406820046254638,"hypo","Biological processes"
"222","GO:0042278 purine nucleoside metabolic process",528,293,0.00813662711864368,0.623713654977003,-0.00128202336858302,"hypo","Biological processes"
"223","GO:0030308 negative regulation of cell growth",137,85,0.00815678315544923,0.623713654977003,-0.00561696966272303,"hypo","Biological processes"
"224","GO:0005001 transmembrane receptor protein tyrosine phosphatase activity",18,16,0.00816759238562598,0.623713654977003,-0.00558782345400829,"hypo","Molecular function"
"225","GO:0019198 transmembrane receptor protein phosphatase activity",18,16,0.00816759238562598,0.623713654977003,-0.00558782345400829,"hypo","Molecular function"
"226","GO:0009154 purine ribonucleotide catabolic process",426,243,0.00823308818740819,0.62593327980552,-0.00121712331118683,"hypo","Biological processes"
"227","GO:0016757 transferase activity, transferring glycosyl groups",259,141,0.00830065539525548,0.628290136569514,0.000732460767277974,"hyper","Molecular function"
"228","GO:0043062 extracellular structure organization",207,125,0.00850587290844538,0.640999597863634,0.00072909945549744,"hyper","Biological processes"
"229","GO:0010810 regulation of cell-substrate adhesion",107,70,0.00856578213540285,0.64143770171449,-0.00903199253931549,"hypo","Biological processes"
"230","GO:0046128 purine ribonucleoside metabolic process",525,291,0.00858635033141269,0.64143770171449,-0.00132224685357452,"hypo","Biological processes"
"231","GO:0050818 regulation of coagulation",67,42,0.00868725432142589,0.646166250003202,-0.00745012362950414,"hypo","Biological processes"
"232","GO:0019208 phosphatase regulator activity",72,48,0.00878964999581115,0.647225707049293,-0.00235451329333317,"hypo","Molecular function"
"233","GO:0032535 regulation of cellular component size",180,110,0.00882074051793294,0.647225707049293,-0.000628495835980656,"hypo","Biological processes"
"234","GO:0045595 regulation of cell differentiation",1027,567,0.00886246775387935,0.647225707049293,-0.00498843646645672,"hypo","Biological processes"
"235","GO:0006354 DNA-dependent transcription, elongation",109,64,0.008871153572037,0.647225707049293,-0.000405582279873149,"hypo","Biological processes"
"236","GO:0009263 deoxyribonucleotide biosynthetic process",11,10,0.00888984209426337,0.647225707049293,-0.00719707774703371,"hypo","Biological processes"
"237","GO:0035556 intracellular signal transduction",1863,993,0.0089713784532497,0.650406010901841,-0.00106492534341121,"hypo","Biological processes"
"238","GO:0044433 cytoplasmic vesicle part",415,233,0.0090648634420449,0.654422200257208,-0.00158684218991358,"hypo","Cellular components"
"239","GO:0010039 response to iron ion",18,15,0.00912310641481639,0.655871190039227,-0.0139263537995087,"hypo","Biological processes"
"240","GO:0009199 ribonucleoside triphosphate metabolic process",471,264,0.0091817208067951,0.657334695426472,-0.000748089350797532,"hypo","Biological processes"
"241","GO:0005083 small GTPase regulator activity",290,179,0.00926595913855809,0.660076716133477,0.00117830409778634,"hyper","Molecular function"
"242","GO:0031327 negative regulation of cellular biosynthetic process",993,536,0.00931239093697075,0.660076716133477,-0.00402393978518077,"hypo","Biological processes"
"243","GO:0015085 calcium ion transmembrane transporter activity",110,73,0.00933527191365585,0.660076716133477,-0.000471215959139752,"hypo","Molecular function"
"244","GO:0009259 ribonucleotide metabolic process",653,357,0.00945023580016475,0.660601694555073,-0.000923564696170789,"hypo","Biological processes"
"245","GO:0090276 regulation of peptide hormone secretion",158,96,0.00945795914915424,0.660601694555073,-0.00208552280671759,"hypo","Biological processes"
"246","GO:0031410 cytoplasmic vesicle",919,492,0.00948479694840798,0.660601694555073,-0.000271695298237119,"hypo","Cellular components"
"247","GO:0005543 phospholipid binding",482,287,0.00956694704141386,0.660601694555073,-0.00111606225563808,"hypo","Molecular function"
"248","GO:0009261 ribonucleotide catabolic process",427,243,0.00963702313354544,0.660601694555073,-0.00123230355564551,"hypo","Biological processes"
"249","GO:0030198 extracellular matrix organization",206,124,0.00964579564269854,0.660601694555073,0.000790906549513562,"hyper","Biological processes"
"250","GO:2001141 regulation of RNA biosynthetic process",2862,1441,0.00967918637002059,0.660601694555073,-0.00325175800566214,"hypo","Biological processes"
"251","GO:0043114 regulation of vascular permeability",26,20,0.00967932569525479,0.660601694555073,0.0013800049563256,"hyper","Biological processes"
"252","GO:0010543 regulation of platelet activation",23,18,0.00968974110786067,0.660601694555073,-0.00525922623547995,"hypo","Biological processes"
"253","GO:0016310 phosphorylation",1271,685,0.00977664264433673,0.660601694555073,-0.00179465897976173,"hypo","Biological processes"
"254","GO:0009144 purine nucleoside triphosphate metabolic process",470,263,0.00978684293701147,0.660601694555073,-0.000688471775583826,"hypo","Biological processes"
"255","GO:0006352 DNA-dependent transcription, initiation",226,131,0.00984924854072652,0.660601694555073,-0.00365440366653401,"hypo","Biological processes"
"256","GO:0006826 iron ion transport",47,32,0.009919182313376,0.660601694555073,0.00128035508605791,"hyper","Biological processes"
"257","GO:0002791 regulation of peptide secretion",160,97,0.00991940619224821,0.660601694555073,-0.00180058002723879,"hypo","Biological processes"
"258","GO:0090087 regulation of peptide transport",160,97,0.00991940619224821,0.660601694555073,-0.00180058002723879,"hypo","Biological processes"
"259","GO:0000152 nuclear ubiquitin ligase complex",25,18,0.010073612859532,0.665917700678165,-0.000307875259152352,"hypo","Cellular components"
"260","GO:0055001 muscle cell development",159,100,0.0100767432299105,0.665917700678165,-0.00943088004653198,"hypo","Biological processes"
"261","GO:0019693 ribose phosphate metabolic process",658,359,0.0101711973828309,0.669414256424757,-0.000765768759624752,"hypo","Biological processes"
"262","GO:0051017 actin filament bundle assembly",80,55,0.0102542741948911,0.669414256424757,-0.0025349353980233,"hypo","Biological processes"
"263","GO:2000112 regulation of cellular macromolecule biosynthetic process",3094,1556,0.0102697950561286,0.669414256424757,-0.00304483684500044,"hypo","Biological processes"
"264","GO:0007167 enzyme linked receptor protein signaling pathway",878,492,0.0102854943368721,0.669414256424757,-0.00210669387319134,"hypo","Biological processes"
"265","GO:0016773 phosphotransferase activity, alcohol group as acceptor",709,406,0.01041757847277,0.675452201204278,0.000955566471359773,"hyper","Molecular function"
"266","GO:1901576 organic substance biosynthetic process",5087,2508,0.0105687446407085,0.679138207032704,-0.00181949567054335,"hypo","Biological processes"
"267","GO:0033613 activating transcription factor binding",52,37,0.0106572592475833,0.679138207032704,-0.00632121720193217,"hypo","Molecular function"
"268","GO:0006355 regulation of transcription, DNA-dependent",2843,1432,0.0106658059233093,0.679138207032704,-0.00326672056074732,"hypo","Biological processes"
"269","GO:0030193 regulation of blood coagulation",62,39,0.0106720588929595,0.679138207032704,-0.00804430253090077,"hypo","Biological processes"
"270","GO:1900046 regulation of hemostasis",62,39,0.0106720588929595,0.679138207032704,-0.00804430253090077,"hypo","Biological processes"
"271","GO:0009205 purine ribonucleoside triphosphate metabolic process",465,260,0.0107203808280172,0.679695879656793,-0.000870833548157178,"hypo","Biological processes"
"272","GO:0032956 regulation of actin cytoskeleton organization",181,110,0.010859890562142,0.685928764268402,-0.000904688002134451,"hypo","Biological processes"
"273","GO:0009889 regulation of biosynthetic process",3333,1668,0.0108985305927874,0.685928764268402,-0.0028235349943427,"hypo","Biological processes"
"274","GO:0048839 inner ear development",163,101,0.0110261031216768,0.691425196484124,-0.00742697961273317,"hypo","Biological processes"
"275","GO:0046961 proton-transporting ATPase activity, rotational mechanism",18,13,0.0111035334776465,0.692572287708641,-0.00271040180660319,"hypo","Molecular function"
"276","GO:0035258 steroid hormone receptor binding",63,42,0.0111250117220105,0.692572287708641,-0.00342415879881178,"hypo","Molecular function"
"277","GO:0032806 carboxy-terminal domain protein kinase complex",5,5,0.0113110861390217,0.70161401458726,-0.00343618264894056,"hypo","Cellular components"
"278","GO:0005604 basement membrane",86,58,0.0115059518036524,0.711134042771066,-0.0046758577734655,"hypo","Cellular components"
"279","GO:0045786 negative regulation of cell cycle",449,245,0.0115983288659955,0.714274145432022,3.58835406440162e-05,"hyper","Biological processes"
"280","GO:0060284 regulation of cell development",503,295,0.0117943597418324,0.719719091371078,-0.00647303680919395,"hypo","Biological processes"
"281","GO:0045944 positive regulation of transcription from RNA polymerase II promoter",707,389,0.0118099910947673,0.719719091371078,-0.00585093934711302,"hypo","Biological processes"
"282","GO:0006974 response to DNA damage stimulus",615,324,0.0118124073895148,0.719719091371078,0.000847965569011235,"hyper","Biological processes"
"283","GO:0060612 adipose tissue development",21,17,0.011963046025339,0.720229123912388,0.00175258425299522,"hyper","Biological processes"
"284","GO:0046530 photoreceptor cell differentiation",44,30,0.011996571978155,0.720229123912388,-0.00467442689090083,"hypo","Biological processes"
"285","GO:0043583 ear development",190,116,0.0120824758076515,0.720229123912388,-0.00816720045474762,"hypo","Biological processes"
"286","GO:0009141 nucleoside triphosphate metabolic process",488,271,0.0120916376720453,0.720229123912388,-0.00084765480721132,"hypo","Biological processes"
"287","GO:0009150 purine ribonucleotide metabolic process",638,348,0.0121013475935829,0.720229123912388,-0.00116484554440773,"hypo","Biological processes"
"288","GO:0016358 dendrite development",121,79,0.01210756487707,0.720229123912388,-0.00441650799876022,"hypo","Biological processes"
"289","GO:0051252 regulation of RNA metabolic process",2925,1472,0.0121142018863159,0.720229123912388,-0.00330670343002089,"hypo","Biological processes"
"290","GO:0044249 cellular biosynthetic process",5006,2467,0.0122601027988072,0.72632075763596,-0.00186233695663585,"hypo","Biological processes"
"291","GO:0009116 nucleoside metabolic process",596,324,0.0123052719585039,0.72632075763596,-0.00153123596571375,"hypo","Biological processes"
"292","GO:0031326 regulation of cellular biosynthetic process",3304,1654,0.0123765073986586,0.72632075763596,-0.00279866622908192,"hypo","Biological processes"
"293","GO:0051493 regulation of cytoskeleton organization",268,156,0.0124248641704045,0.72632075763596,-0.000341413371378571,"hypo","Biological processes"
"294","GO:0031253 cell projection membrane",178,107,0.012438651660871,0.72632075763596,-0.00108065842254918,"hypo","Cellular components"
"295","GO:0010556 regulation of macromolecule biosynthetic process",3174,1589,0.0124702958621003,0.72632075763596,-0.00284734700041033,"hypo","Biological processes"
"296","GO:0051128 regulation of cellular component organization",1251,682,0.0126249917298994,0.728273451480659,-0.00137602714212239,"hypo","Biological processes"
"297","GO:0017053 transcriptional repressor complex",63,43,0.0126662787982532,0.728273451480659,-0.00260803322673325,"hypo","Cellular components"
"298","GO:0060348 bone development",96,64,0.0126855472169715,0.728273451480659,-0.000770498245061625,"hypo","Biological processes"
"299","GO:0031589 cell-substrate adhesion",221,135,0.0126948203121401,0.728273451480659,-0.00247767167797456,"hypo","Biological processes"
"300","GO:0046782 regulation of viral transcription",67,41,0.0127897360187136,0.728273451480659,0.00088747604889994,"hyper","Biological processes"
"301","GO:0034330 cell junction organization",199,124,0.0127994704832533,0.728273451480659,-0.0046991297815428,"hypo","Biological processes"
"302","GO:0005089 Rho guanyl-nucleotide exchange factor activity",75,53,0.0128005227765778,0.728273451480659,-0.00154340316301537,"hypo","Molecular function"
"303","GO:0006281 DNA repair",394,209,0.0128633650153339,0.729433457734214,0.00180714599198101,"hyper","Biological processes"
"304","GO:0050796 regulation of insulin secretion",145,88,0.0129686251906101,0.732983282977179,-0.00206886736914029,"hypo","Biological processes"
"305","GO:0010035 response to inorganic substance",312,171,0.0130221314333814,0.733594302584786,-0.00314773942917396,"hypo","Biological processes"
"306","GO:0044212 transcription regulatory region DNA binding",335,194,0.0131455719008905,0.738128158173534,-0.00629641090463843,"hypo","Molecular function"
"307","GO:0017124 SH3 domain binding",115,74,0.0132033557746413,0.738957846644583,0.0004849246407293,"hyper","Molecular function"
"308","GO:0030234 enzyme regulator activity",965,515,0.0133008536901369,0.739658701471835,-0.000926256947492738,"hypo","Molecular function"
"309","GO:0031400 negative regulation of protein modification process",318,180,0.0133449848770563,0.739658701471835,-0.0017405092139787,"hypo","Biological processes"
"310","GO:0009894 regulation of catabolic process",514,291,0.0133485927749262,0.739658701471835,-0.00148159431321927,"hypo","Biological processes"
"311","GO:0006915 apoptotic process",1545,803,0.0133968459304975,0.739658701471835,-0.00200764562929922,"hypo","Biological processes"
"312","GO:0031057 negative regulation of histone modification",23,18,0.013431120641323,0.739658701471835,6.19166305148445e-05,"hyper","Biological processes"
"313","GO:0043235 receptor complex",169,103,0.0137115455319738,0.752689378052315,-0.000889976996655492,"hypo","Cellular components"
"314","GO:0021700 developmental maturation",176,106,0.0138656576984246,0.758725256606152,-0.00213231548765149,"hypo","Biological processes"
"315","GO:0008198 ferrous iron binding",12,10,0.0140541368649142,0.764888834882977,-0.00336527502233199,"hypo","Molecular function"
"316","GO:0007158 neuron cell-cell adhesion",12,11,0.0140673304518112,0.764888834882977,-0.00746011347647411,"hypo","Biological processes"
"317","GO:0070301 cellular response to hydrogen peroxide",52,32,0.0141470675226943,0.765179625094039,-0.00293160097508735,"hypo","Biological processes"
"318","GO:0010769 regulation of cell morphogenesis involved in differentiation",186,118,0.0141617460586605,0.765179625094039,-0.00603662312962125,"hypo","Biological processes"
"319","GO:0033124 regulation of GTP catabolic process",218,133,0.0143797179520392,0.772539047300049,-0.000765432117301079,"hypo","Biological processes"
"320","GO:0005088 Ras guanyl-nucleotide exchange factor activity",112,76,0.014387876564778,0.772539047300049,0.000365430128030491,"hyper","Molecular function"
"321","GO:0004112 cyclic-nucleotide phosphodiesterase activity",25,20,0.0144843259330969,0.774079407633245,-0.0068288415795698,"hypo","Molecular function"
"322","GO:0007423 sensory organ development",442,251,0.0145066679814867,0.774079407633245,-0.00601214572916807,"hypo","Biological processes"
"323","GO:0010948 negative regulation of cell cycle process",108,66,0.0146098964366859,0.774148196971129,-0.000767677493998762,"hypo","Biological processes"
"324","GO:0032042 mitochondrial DNA metabolic process",12,10,0.0146163782549839,0.774148196971129,0.00552578650438684,"hyper","Biological processes"
"325","GO:0012501 programmed cell death",1559,810,0.0146753212668015,0.774148196971129,-0.00206970743305143,"hypo","Biological processes"
"326","GO:0001952 regulation of cell-matrix adhesion",59,41,0.0146881802009422,0.774148196971129,-0.00891184712596287,"hypo","Biological processes"
"327","GO:0009888 tissue development",1274,680,0.0148056238962856,0.776840804558495,-0.00470463477158602,"hypo","Biological processes"
"328","GO:0016023 cytoplasmic membrane-bounded vesicle",853,454,0.0148296929283661,0.776840804558495,-0.000102713067118474,"hypo","Cellular components"
"329","GO:0045216 cell-cell junction organization",170,106,0.0150024189217856,0.783500188188815,-0.00538394669103264,"hypo","Biological processes"
"330","GO:0051098 regulation of binding",178,104,0.0151811701525665,0.788200452368223,-0.00173664278860378,"hypo","Biological processes"
"331","GO:0010564 regulation of cell cycle process",440,239,0.0152155331799546,0.788200452368223,-0.00152767996901213,"hypo","Biological processes"
"332","GO:0030203 glycosaminoglycan metabolic process",150,90,0.015230040169145,0.788200452368223,0.000866378874959153,"hyper","Biological processes"
"333","GO:0030834 regulation of actin filament depolymerization",33,24,0.015546986990985,0.801106443593677,0.00338028345285851,"hyper","Biological processes"
"334","GO:0051301 cell division",478,261,0.0155757858892321,0.801106443593677,-0.0012580574939074,"hypo","Biological processes"
"335","GO:0048638 regulation of developmental growth",108,70,0.0156192910373578,0.801106443593677,-0.00914184505792374,"hypo","Biological processes"
"336","GO:0006264 mitochondrial DNA replication",9,8,0.015711157980776,0.802136294335696,-0.00467228105024098,"hypo","Biological processes"
"337","GO:0016308 1-phosphatidylinositol-4-phosphate 5-kinase activity",7,7,0.0157784308355526,0.802136294335696,0.00566515192067265,"hyper","Molecular function"
"338","GO:0015662 ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism",50,35,0.0157794242512784,0.802136294335696,-0.000230273933015962,"hypo","Molecular function"
"339","GO:0001649 osteoblast differentiation",142,87,0.0158537573353376,0.803537635798733,-0.00530418235799848,"hypo","Biological processes"
"340","GO:0050922 negative regulation of chemotaxis",22,17,0.0159221730269713,0.803759309135932,-0.00991058118224262,"hypo","Biological processes"
"341","GO:0003774 motor activity",129,81,0.0159516892338117,0.803759309135932,-0.00102333020722721,"hypo","Molecular function"
"342","GO:0016301 kinase activity",766,432,0.0160957389717124,0.807707853934422,0.000790739659407493,"hyper","Molecular function"
"343","GO:0040012 regulation of locomotion",454,255,0.0161240713478935,0.807707853934422,-0.00322762172198513,"hypo","Biological processes"
"344","GO:0097061 dendritic spine organization",25,20,0.0161915367668203,0.808729606766005,-0.00800023382683327,"hypo","Biological processes"
"345","GO:0030072 peptide hormone secretion",187,110,0.0162475117365658,0.809173178717896,-0.0032666431883944,"hypo","Biological processes"
"346","GO:0051056 regulation of small GTPase mediated signal transduction",362,217,0.0163602586259343,0.812433421129491,-0.00175647322123478,"hypo","Biological processes"
"347","GO:0045445 myoblast differentiation",43,30,0.0165365484826446,0.818821256567147,-0.00808350582226727,"hypo","Biological processes"
"348","GO:0002790 peptide secretion",191,112,0.0169420576009308,0.836489752009176,-0.00311383592195328,"hypo","Biological processes"
"349","GO:0008017 microtubule binding",108,67,0.0171322088431253,0.843454476626301,-0.000786568224451353,"hypo","Molecular function"
"350","GO:0016571 histone methylation",61,41,0.0172141371229767,0.845066582991386,-0.00025807148510549,"hypo","Biological processes"
"351","GO:0046879 hormone secretion",224,128,0.017428823337223,0.853168212479104,-0.00372836294298198,"hypo","Biological processes"
"352","GO:0003777 microtubule motor activity",74,49,0.0175741265188814,0.855879631362549,0.000462324149813552,"hyper","Molecular function"
"353","GO:0008361 regulation of cell size",75,50,0.0175838383116622,0.855879631362549,-0.00198369601482656,"hypo","Biological processes"
"354","GO:0014068 positive regulation of phosphatidylinositol 3-kinase cascade",44,30,0.0176861788067608,0.855888660026186,-0.00470822163048118,"hypo","Biological processes"
"355","GO:1901136 carbohydrate derivative catabolic process",555,304,0.017687821871584,0.855888660026186,-0.000456274128196763,"hypo","Biological processes"
"356","GO:0032268 regulation of cellular protein metabolic process",1270,668,0.0177334630991341,0.855888660026186,-0.00153513270762545,"hypo","Biological processes"
"357","GO:0072521 purine-containing compound metabolic process",718,386,0.0178022053914973,0.856799700382933,-0.00128665995085525,"hypo","Biological processes"
"358","GO:0045295 gamma-catenin binding",12,11,0.0180810667799451,0.866622168142236,-0.00261534778535976,"hypo","Molecular function"
"359","GO:0009214 cyclic nucleotide catabolic process",16,14,0.0181071678712061,0.866622168142236,-0.00740229387431478,"hypo","Biological processes"
"360","GO:0009117 nucleotide metabolic process",820,436,0.0182436993693278,0.870731229343861,-0.00167118912836916,"hypo","Biological processes"
"361","GO:0050919 negative chemotaxis",12,11,0.0183215328962428,0.871502504400084,-0.0113528826606412,"hypo","Biological processes"
"362","GO:0034329 cell junction assembly",175,109,0.0183613029096048,0.871502504400084,-0.00489273943665572,"hypo","Biological processes"
"363","GO:0016331 morphogenesis of embryonic epithelium",139,88,0.0184290340608224,0.87230761221226,-0.00430846465781217,"hypo","Biological processes"
"364","GO:0051248 negative regulation of protein metabolic process",479,262,0.0186760104046326,0.876639449414694,-0.00166600699211404,"hypo","Biological processes"
"365","GO:0043085 positive regulation of catalytic activity",907,488,0.01874301286826,0.876639449414694,-0.00162218581098716,"hypo","Biological processes"
"366","GO:0042886 amide transport",209,121,0.0187724114284698,0.876639449414694,-0.00261322314761253,"hypo","Biological processes"
"367","GO:0032462 regulation of protein homooligomerization",14,12,0.0187750083366436,0.876639449414694,-0.00137262358554244,"hypo","Biological processes"
"368","GO:0016115 terpenoid catabolic process",5,5,0.018775655766768,0.876639449414694,-0.00910161726038767,"hypo","Biological processes"
"369","GO:1901362 organic cyclic compound biosynthetic process",3695,1828,0.018924398024116,0.879815606836682,-0.00272082801673315,"hypo","Biological processes"
"370","GO:0030042 actin filament depolymerization",36,26,0.0190136953824185,0.879815606836682,0.00499089359480076,"hyper","Biological processes"
"371","GO:0043087 regulation of GTPase activity",216,131,0.0190297064356591,0.879815606836682,-0.000764190988341274,"hypo","Biological processes"
"372","GO:1900449 regulation of glutamate receptor signaling pathway",23,18,0.0190485045828917,0.879815606836682,-0.00386901845609098,"hypo","Biological processes"
"373","GO:0050434 positive regulation of viral transcription",54,34,0.0191634964822706,0.882132343328042,0.00217068414821707,"hyper","Biological processes"
"374","GO:0000236 mitotic prometaphase",86,50,0.0192209331795353,0.882132343328042,-0.000418193105847542,"hypo","Biological processes"
"375","GO:0006284 base-excision repair",39,26,0.0192526847135383,0.882132343328042,0.0014065167808324,"hyper","Biological processes"
"376","GO:0000002 mitochondrial genome maintenance",17,13,0.0194668472567379,0.887744905782363,-0.00174068802614997,"hypo","Biological processes"
"377","GO:0000083 regulation of transcription involved in G1/S phase of mitotic cell cycle",22,16,0.0194785141124404,0.887744905782363,-0.00176989033722164,"hypo","Biological processes"
"378","GO:0048407 platelet-derived growth factor binding",11,10,0.0197320616333281,0.896921383555142,0.00543473714910681,"hyper","Molecular function"
"379","GO:0018193 peptidyl-amino acid modification",653,356,0.0198700555020022,0.897164952115459,-0.00109489361258584,"hypo","Biological processes"
"380","GO:0000975 regulatory region DNA binding",343,197,0.0199298203218066,0.897164952115459,-0.00663541935124877,"hypo","Molecular function"
"381","GO:0001067 regulatory region nucleic acid binding",343,197,0.0199298203218066,0.897164952115459,-0.00663541935124877,"hypo","Molecular function"
"382","GO:0072523 purine-containing compound catabolic process",467,260,0.0200295577624032,0.897164952115459,-0.00166447284226811,"hypo","Biological processes"
"383","GO:0048172 regulation of short-term neuronal synaptic plasticity",7,7,0.0200921491551155,0.897164952115459,-0.000372577325734526,"hypo","Biological processes"
"384","GO:0008013 beta-catenin binding",61,43,0.0201618084203343,0.897164952115459,-0.00104802743650903,"hypo","Molecular function"
"385","GO:0006184 GTP catabolic process",334,191,0.0201669535197249,0.897164952115459,-0.000878662101213868,"hypo","Biological processes"
"386","GO:0034451 centriolar satellite",9,8,0.0202848955244768,0.897164952115459,0.00357096067675992,"hyper","Cellular components"
"387","GO:0018393 internal peptidyl-lysine acetylation",114,69,0.0202904279764395,0.897164952115459,-0.000678286645490618,"hypo","Biological processes"
"388","GO:0009118 regulation of nucleoside metabolic process",247,147,0.0203605638136925,0.897164952115459,-0.00199383645116777,"hypo","Biological processes"
"389","GO:0060485 mesenchyme development",162,98,0.0203756250355044,0.897164952115459,-0.00772385297776523,"hypo","Biological processes"
"390","GO:0006152 purine nucleoside catabolic process",413,231,0.0204162202466037,0.897164952115459,-0.00120760568661807,"hypo","Biological processes"
"391","GO:0046130 purine ribonucleoside catabolic process",413,231,0.0204162202466037,0.897164952115459,-0.00120760568661807,"hypo","Biological processes"
"392","GO:1901888 regulation of cell junction assembly",34,25,0.0205110070129737,0.899030924737025,-0.0130411650737613,"hypo","Biological processes"
"393","GO:0009146 purine nucleoside triphosphate catabolic process",405,227,0.020668850508518,0.900570779610145,-0.0012814385535165,"hypo","Biological processes"
"394","GO:1901566 organonitrogen compound biosynthetic process",645,342,0.0206949884942793,0.900570779610145,0.00101040141265845,"hyper","Biological processes"
"395","GO:0021680 cerebellar Purkinje cell layer development",17,14,0.020752239943383,0.900570779610145,0.0031369105047313,"hyper","Biological processes"
"396","GO:0009203 ribonucleoside triphosphate catabolic process",403,226,0.0208082062335716,0.900570779610145,-0.00134479282292453,"hypo","Biological processes"
"397","GO:0009207 purine ribonucleoside triphosphate catabolic process",403,226,0.0208082062335716,0.900570779610145,-0.00134479282292453,"hypo","Biological processes"
"398","GO:0050790 regulation of catalytic activity",1437,753,0.0208979365810686,0.902181774713369,-0.00133244319384925,"hypo","Biological processes"
"399","GO:0045926 negative regulation of growth",191,110,0.0212024811566146,0.912818318461254,-0.00501248947805021,"hypo","Biological processes"
"400","GO:0051246 regulation of protein metabolic process",1451,753,0.0212749768015909,0.912818318461254,-0.00114086232132158,"hypo","Biological processes"
"401","GO:0005881 cytoplasmic microtubule",30,22,0.0213036983880202,0.912818318461254,0.00693611660837969,"hyper","Cellular components"
"402","GO:0005391 sodium:potassium-exchanging ATPase activity",9,8,0.0214099107578305,0.915087280201602,-0.0105518049949963,"hypo","Molecular function"
"403","GO:0050769 positive regulation of neurogenesis",118,75,0.0215700363625122,0.919643585063735,-0.00551624478766801,"hypo","Biological processes"
"404","GO:0030194 positive regulation of blood coagulation",18,13,0.0216905832096394,0.920216298044504,-0.00221783432373686,"hypo","Biological processes"
"405","GO:1900048 positive regulation of hemostasis",18,13,0.0216905832096394,0.920216298044504,-0.00221783432373686,"hypo","Biological processes"
"406","GO:0051893 regulation of focal adhesion assembly",26,20,0.0220240022767113,0.92861246140602,-0.0121676923271503,"hypo","Biological processes"
"407","GO:0090109 regulation of cell-substrate junction assembly",26,20,0.0220240022767113,0.92861246140602,-0.0121676923271503,"hypo","Biological processes"
"408","GO:2000145 regulation of cell motility",420,236,0.0220506276483329,0.92861246140602,-0.00284791593002961,"hypo","Biological processes"
"409","GO:0016820 hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances",104,65,0.022194821557441,0.932399569682032,0.00210776013489138,"hyper","Molecular function"
"410","GO:0004114 3',5'-cyclic-nucleotide phosphodiesterase activity",24,19,0.0223267207995853,0.935138156556727,-0.00605587172504515,"hypo","Molecular function"
"411","GO:0030027 lamellipodium",122,79,0.0223688617358174,0.935138156556727,-0.0012454320954309,"hypo","Cellular components"
"412","GO:0030334 regulation of cell migration",397,223,0.0227010215773423,0.942337959212342,-0.00260033881208468,"hypo","Biological processes"
"413","GO:0010038 response to metal ion",217,121,0.0227245111229708,0.942337959212342,-0.00510969984765365,"hypo","Biological processes"
"414","GO:0051290 protein heterotetramerization",6,6,0.0228042852420777,0.942337959212342,0.00951050218646338,"hyper","Biological processes"
"415","GO:0050767 regulation of neurogenesis",398,235,0.0228143239812569,0.942337959212342,-0.00605048151564886,"hypo","Biological processes"
"416","GO:0051129 negative regulation of cellular component organization",338,193,0.0228416980590856,0.942337959212342,0.000984498804843916,"hyper","Biological processes"
"417","GO:0052547 regulation of peptidase activity",257,136,0.0228822270466381,0.942337959212342,-0.000729919226743472,"hypo","Biological processes"
"418","GO:0051015 actin filament binding",69,47,0.0229249951664974,0.942337959212342,-0.000887667520022204,"hypo","Molecular function"
"419","GO:0032879 regulation of localization",1371,726,0.0230276479920945,0.944298443437154,-0.00278688717878723,"hypo","Biological processes"
"420","GO:0045177 apical part of cell",278,157,0.0231961940161229,0.948945251392913,0.00118266078390472,"hyper","Cellular components"
"421","GO:0007193 adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway",43,29,0.0233682904459579,0.953714884661397,0.00476771618810061,"hyper","Biological processes"
"422","GO:0048278 vesicle docking",29,21,0.0237633130865836,0.960082767550169,0.0022333044439666,"hyper","Biological processes"
"423","GO:0044271 cellular nitrogen compound biosynthetic process",3668,1814,0.0237744883631909,0.960082767550169,-0.00262173123701173,"hypo","Biological processes"
"424","GO:0006563 L-serine metabolic process",8,7,0.0237834685968178,0.960082767550169,0.00186202729729789,"hyper","Biological processes"
"425","GO:0010572 positive regulation of platelet activation",5,5,0.0237967436272327,0.960082767550169,-0.000405597498073646,"hypo","Biological processes"
